item	total	count part-1	specif part-1	count part-2	specif part-2
時期	8	0	-1.73	8	1.73
AI	8	0	-1.73	8	1.73
インフレ	8	0	-1.73	8	1.73
種類	8	0	-1.73	8	1.73
覚え	8	0	-1.73	8	1.73
注意	8	0	-1.73	8	1.73
金利	8	0	-1.73	8	1.73
夫婦	8	0	-1.73	8	1.73
満たさ	8	0	-1.73	8	1.73
プレッシャー	8	0	-1.73	8	1.73
利益	8	0	-1.73	8	1.73
）～	8	0	-1.73	8	1.73
img	8	0	-1.73	8	1.73
変形	8	0	-1.73	8	1.73
daily	8	0	-1.73	8	1.73
間	8	0	-1.73	8	1.73
村井	8	0	-1.73	8	1.73
とも	7	2	-0.57	5	0.57
詳細	7	5	1.14	2	-1.14
最大	7	1	-0.86	6	0.86
取	7	6	1.81	1	-1.81
いこ	7	3	0.54	4	0.54
はず	7	1	-0.86	6	0.86
いけ	7	2	-0.57	5	0.57
向かう	7	5	1.14	2	-1.14
まとめ	7	3	0.54	4	0.54
本当	7	3	0.54	4	0.54
置い	7	2	-0.57	5	0.57
大事	7	3	0.54	4	0.54
現在	7	5	1.14	2	-1.14
地	7	5	1.14	2	-1.14
道	7	6	1.81	1	-1.81
福祉	7	7	2.85	0	-2.85
発信	7	5	1.14	2	-1.14
普及	7	6	1.81	1	-1.81
いただい	7	4	0.73	3	-0.73
進める	7	3	0.54	4	0.54
１月	7	7	2.85	0	-2.85
運営	7	3	0.54	4	0.54
前向き	7	6	1.81	1	-1.81
新た	7	7	2.85	0	-2.85
問い合わせ	7	3	0.54	4	0.54
]【	7	3	0.54	4	0.54
特集	7	7	2.85	0	-2.85
取り	7	6	1.81	1	-1.81
49	7	4	0.73	3	-0.73
だるま	7	7	2.85	0	-2.85
同	7	6	1.81	1	-1.81
minyu	7	7	2.85	0	-2.85
72	7	6	1.81	1	-1.81
タイム	7	7	2.85	0	-2.85
カプセル	7	7	2.85	0	-2.85
＝	7	5	1.14	2	-1.14
手紙	7	6	1.81	1	-1.81
2023	7	2	-0.57	5	0.57
86	7	5	1.14	2	-1.14
送る	7	2	-0.57	5	0.57
悩み	7	4	0.73	3	-0.73
歩	7	7	2.85	0	-2.85
分野	7	4	0.73	3	-0.73
おり	7	3	0.54	4	0.54
やすく	7	1	-0.86	6	0.86
最も	7	2	-0.57	5	0.57
避ける	7	3	0.54	4	0.54
67	7	5	1.14	2	-1.14
資料	7	3	0.54	4	0.54
71	7	3	0.54	4	0.54
宗教	7	7	2.85	0	-2.85
134	7	5	1.14	2	-1.14
137	7	4	0.73	3	-0.73
ジャパン	7	5	1.14	2	-1.14
149	7	4	0.73	3	-0.73
150	7	3	0.54	4	0.54
Hope	7	7	2.85	0	-2.85
169	7	2	-0.57	5	0.57
94	7	2	-0.57	5	0.57
102	7	3	0.54	4	0.54
103	7	3	0.54	4	0.54
104	7	3	0.54	4	0.54
106	7	3	0.54	4	0.54
107	7	3	0.54	4	0.54
112	7	4	0.73	3	-0.73
id	7	2	-0.57	5	0.57
これから	7	2	-0.57	5	0.57
瑞	7	7	2.85	0	-2.85
陵	7	7	2.85	0	-2.85
中学校	7	7	2.85	0	-2.85
比	7	5	1.14	2	-1.14
65	7	4	0.73	3	-0.73
く	7	4	0.73	3	-0.73
00	7	5	1.14	2	-1.14
shimotsuke	7	7	2.85	0	-2.85
hatena	7	4	0.73	3	-0.73
ne	7	4	0.73	3	-0.73
via	7	5	1.14	2	-1.14
